categoria,exemplo,tipo,descricao
1_function_syntax,example1,Sintatico,Falta tipo de retorno no metodo
1_function_syntax,example2,Sintatico,Colchetes em vez de parenteses nos parametros
1_function_syntax,example3,Sintatico,Falta virgula entre parametros
1_function_syntax,example4,Sintatico,Falta virgula entre parametros (segundo caso)
1_function_syntax,example5,Sintatico,Falta parentese de fechamento
1_function_syntax,example6,Sintatico,Falta > no tipo generico List<String
1_function_syntax,example7,Sintatico,Falta parentese de fechamento em parametros
1_function_syntax,example8,Sintatico,Falta parentese de fechamento em construtor
1_function_syntax,example9,Sintatico,Falta parentese de fechamento em metodo
1_function_syntax,example10,Sintatico,Return vazio sem ponto-e-virgula
2_conditionals,example1,Sintatico,If sem parenteses na condicao
2_conditionals,example2,Sintatico,Else if escrito como elseif
2_conditionals,example3,Sintatico,Falta parentese de fechamento em if
2_conditionals,example4,Sintatico,Atribuicao (=) em vez de comparacao (==) em if
2_conditionals,example5,Sintatico,Falta ponto-e-virgula ao final do return
2_conditionals,example6,Sintatico,Condicao incompleta if (n > )
2_conditionals,example7,Sintatico,Switch case sem dois pontos
2_conditionals,example8,Sintatico,Ternario sem dois pontos (:)
2_conditionals,example9,Sintatico,Ternario sem interrogacao (?)
2_conditionals,example10,Sintatico,Ponto-e-virgula antes do bloco if
3_variables,example1,Sintatico,Falta operador de atribuicao (=)
3_variables,example2,Sintatico,Falta ponto-e-virgula ao final
3_variables,example3,Sintatico,Falta operador de atribuicao (=)
3_variables,example4,Sintatico,Falta ponto-e-virgula entre atribuicoes
3_variables,example5,Sintatico,Operador += incompleto (falta valor)
3_variables,example6,Sintatico,Virgula em vez de ponto-e-virgula entre linhas
3_variables,example7,Sintatico,Palavra reservada (private) como nome de variavel
3_variables,example8,Sintatico,Falta ponto-e-virgula antes de return
3_variables,example9,Sintatico,Operador + incompleto (falta valor)
3_variables,example10,Sintatico,Falta ponto-e-virgula apos atribuicao
4_loops,example1,Sintatico,For sem ponto-e-virgula entre secoes
4_loops,example2,Sintatico,While sem parenteses na condicao
4_loops,example3,Sintatico,Do-while com (x > 0) em vez de while (x > 0)
4_loops,example4,Sintatico,Do-while sem ponto-e-virgula apos while
4_loops,example5,Sintatico,For-each com in em vez de :
4_loops,example6,Sintatico,While sem parentese de fechamento
4_loops,example7,Sintatico,Incremento errado (i+ em vez de i++)
4_loops,example8,Sintatico,Break sem chaves em if
4_loops,example9,Sintatico,For sem parentese de abertura
4_loops,example10,Sintatico,Falta ponto-e-virgula ao final de return
5_arrays,example1,Sintatico,Declaracao de array sem inicializacao
5_arrays,example2,Sintatico,Acesso a indice com parenteses em vez de colchetes
5_arrays,example3,Sintatico,Falta ponto-e-virgula apos atribuicao
5_arrays,example4,Sintatico,Falta ponto-e-virgula apos atribuicao
5_arrays,example5,Sintatico,Array.length() com parenteses (deveria ser .length)
5_arrays,example6,Sintatico,ArrayList sem parentese de fechamento
5_arrays,example7,Sintatico,Uso de [] em vez de .get() em ArrayList
5_arrays,example8,Sintatico,Falta ponto-e-virgula apos atribuicao
5_arrays,example9,Sintatico,Inicializacao de array sem new
5_arrays,example10,Sintatico,Clone de array sem parenteses
6_operators,example1,Sintatico,Falta ponto-e-virgula ao final
6_operators,example2,Sintatico,Operador === (JavaScript) em vez de ==
6_operators,example3,Sintatico,Operador <> (SQL) em vez de !=
6_operators,example4,Sintatico,Falta ponto-e-virgula ao final
6_operators,example5,Sintatico,Falta ponto-e-virgula ao final
6_operators,example6,Sintatico,Operador && incompleto (falta operando)
6_operators,example7,Sintatico,Divisao por dois slashes em vez de um
6_operators,example8,Sintatico,Modulo com dois porcento em vez de um
6_operators,example9,Sintatico,Shift com tres caracteres em vez de dois
6_operators,example10,Sintatico,Falta ponto-e-virgula ao final
7_strings,example1,Sintatico,Concatenacao sem operador +
7_strings,example2,Sintatico,Concatenacao sem operador + (duplicado)
7_strings,example3,Sintatico,Falta ponto-e-virgula ao final
7_strings,example4,Sintatico,Falta operador + entre strings
7_strings,example5,Sintatico,Falta ponto-e-virgula ao final
7_strings,example6,Sintatico,Falta ponto-e-virgula ao final
7_strings,example7,Sintatico,Falta ponto-e-virgula ao final
7_strings,example8,Sintatico,Aspas simples para String em vez de duplas
7_strings,example9,Sintatico,Falta ponto-e-virgula ao final
7_strings,example10,Sintatico,Falta parentese de fechamento
8_primitives,example1,Sintatico,Falta ponto-e-virgula antes de return
8_primitives,example2,Sintatico,Falta ponto-e-virgula ao final
8_primitives,example3,Sintatico,Falta ponto-e-virgula ao final
8_primitives,example4,Sintatico,Falta ponto-e-virgula ao final
8_primitives,example5,Sintatico,Falta ponto-e-virgula no catch
8_primitives,example6,Sintatico,Falta ponto-e-virgula ao final
8_primitives,example7,Sintatico,Falta ponto-e-virgula ao final
8_primitives,example8,Sintatico,Falta ponto-e-virgula ao final
8_primitives,example9,Sintatico,Falta ponto-e-virgula ao final
8_primitives,example10,Sintatico,Falta cast explicito (long para int)
9_exceptions,example1,Sintatico,Falta ponto-e-virgula em try
9_exceptions,example2,Sintatico,Catch sem tipo de excecao
9_exceptions,example3,Sintatico,Exception generica antes de especifica
9_exceptions,example4,Sintatico,Finally sem try
9_exceptions,example5,Sintatico,Throw sem new
9_exceptions,example6,Sintatico,Falta ponto-e-virgula apos throw
9_exceptions,example7,Sintatico,Try sem catch ou finally
9_exceptions,example8,Sintatico,Multiplos catches com virgula em vez de pipe
9_exceptions,example9,Sintatico,Re-throw de excecao sem declarar throws
9_exceptions,example10,Sintatico,Try-catch vazio sem erro sintatico
