example,tipo,descricao
example1,Sintatico,Indice negativo em array (array[-1] deveria ser array[0])
example2,Sintatico,Operador ** (Python) em vez de * (Java)
example3,Sintatico,Atribuicao (=) em vez de comparacao (==)
example4,Sintatico,Indice negativo variacao (array[-1])
example5,Sintatico,Operador ** em vez de *
example6,Sintatico,Atribuicao = em vez de comparacao ==
example7,Sintatico,Incremento pos-fixo desnecessario (x ++)
example8,Sintatico,Divisoes multiplas em vez de divisao unica
example9,Sintatico,Operador && em vez de ||
example10,Sintatico,Atribuicao = em vez de acumulacao +=
example11,Contextual,Subtract usa + em vez de -
example12,Contextual,Condicao impossivel (x > y && x < y)
example13,Contextual,Indice errado baseado no nome (getLastElement retorna [0])
example14,Contextual,Espaco extra entre operadores (a + + b)
example15,Contextual,Decremento em vez de incremento (i--)
example16,Contextual,Condicao de loop incorreta (<= causa overflow)
example17,Contextual,Comparacao impossivel (length() < 0)
example18,Contextual,Operador logico errado (|| em vez de &&)
example19,Contextual,Divisao inteira em vez de decimal (falta cast)
example20,Contextual,Atribuicao em vez de acumulacao no loop
