example,tipo,descricao
example1,Sintatico,Falta ponto e virgula apos count++
example2,Sintatico,Atribuicao (=) em vez de comparacao (==) no if
example3,Sintatico,Falta chave de fechamento no for
example4,Sintatico,Falta parentese de fechamento no for
example5,Sintatico,Chave de fechamento extra sem abertura correspondente
example6,Sintatico,Dois pontos e virgulas consecutivos
example7,Sintatico,Falta tipo de retorno no metodo
example8,Sintatico,Atribuicao (=) em vez de comparacao (==) no if
example9,Sintatico,Falta ponto e virgula entre inicializacao e condicao do for
example10,Sintatico,Parentese de fechamento extra no if
example11,Sintatico,Atribuicao (=) em vez de comparacao (==) em condicao composta
example12,Sintatico,Falta operador entre sum e numbers[i]
example13,Sintatico,Atribuicao (=) em vez de comparacao (==) em expressao modulo
example14,Sintatico,Falta chave de abertura no metodo
example15,Sintatico,Colchete em vez de parentese no for
example16,Sintatico,Falta virgula entre parametros do metodo
example17,Sintatico,While sem parenteses na condicao
example18,Sintatico,Operador invalido ** (nao existe em Java)
example19,Sintatico,Atribuicao (=) em vez de comparacao (!=) no if
example20,Sintatico,Falta ponto e virgula apos atribuicao
