example,tipo,descricao
example1,Contextual,add usa - em vez de +
example2,Contextual,multiply usa / em vez de *
example3,Contextual,getFirst retorna ultimo elemento
example4,Contextual,isOdd verifica par (== 0)
example5,Contextual,isEmpty verifica length() < 0
example6,Contextual,isValid usa || em vez de &&
example7,Contextual,getLast retorna primeiro elemento
example8,Contextual,isNonZero verifica == 0
example9,Contextual,divide usa * em vez de /
example10,Contextual,check usa && em vez de ||
example11,Contextual,isGreater usa < em vez de >
example12,Contextual,isLess usa > em vez de <
example13,Contextual,subtract usa + em vez de -
example14,Contextual,getLastElement retorna [0]
example15,Contextual,getMax usa < em vez de >
example16,Contextual,getMin usa > em vez de <
example17,Contextual,isNegativeOrZero verifica > 0
example18,Contextual,isPositiveOrZero verifica < 0
example19,Contextual,negate retorna n sem negacao
example20,Contextual,isNotEqual usa == em vez de !=
